01061920909,part01,chap01,sect0106,subsect010619,其他飼養活畜,Other livestock,
01061930006,part01,chap01,sect0106,subsect010619,其他水產活動物,"Other aquatic animals, live",
01061940111,part01,chap01,sect0106,subsect010619,老虎,"Tigers, live",
01061940120,part01,chap01,sect0106,subsect010619,獅子,"Lions, live",
01061940139,part01,chap01,sect0106,subsect010619,豹,"Leopard, live",
01061940148,part01,chap01,sect0106,subsect010619,熊,"Bears, live",
01061940157,part01,chap01,sect0106,subsect010619,象,"Elephants, live",
01061940175,part01,chap01,sect0106,subsect010619,長頸鹿,"Giraffe, live",
01061940184,part01,chap01,sect0106,subsect010619,犀牛,"Rhinocero, live",
01061940193,part01,chap01,sect0106,subsect010619,浣熊,Raccoon (Procyon lotor),
01061940219,part01,chap01,sect0106,subsect010619,松鼠,"Squirrels, live",
01061940228,part01,chap01,sect0106,subsect010619,袋鼠,"Kangaroo, live",
01061940237,part01,chap01,sect0106,subsect010619,美洲巨水鼠科,Myocastoridae spp.,
01061940308,part01,chap01,sect0106,subsect010619,河馬,"Hippopotami, live",
01061940406,part01,chap01,sect0106,subsect010619,鹿,"Deer, live",
01061940905,part01,chap01,sect0106,subsect010619,其他活獸畜,"Other wild animals, live",
01061990003,part01,chap01,sect0106,subsect010619,其他哺乳類動物,Other mammals,
01062010114,part01,chap01,sect0106,subsect010620,網紋蟒、緬甸蟒、南非岩蟒、非洲岩蟒,"Malayopython reticulatus, Python bivittatus, Python natalensis, Python sebae",
01062010123,part01,chap01,sect0106,subsect010620,綠水蚺屬,Eunectes spp.,
01062010132,part01,chap01,sect0106,subsect010620,棕樹蛇,Boiga irregularis,
01062010141,part01,chap01,sect0106,subsect010620,蝮蛇科,Viperidae spp.,
01062010150,part01,chap01,sect0106,subsect010620,蝙蝠蛇科,Elapidae spp.,
01062010999,part01,chap01,sect0106,subsect010620,其他活蛇,Other snakes,
01062020103,part01,chap01,sect0106,subsect010620,鱉（甲魚）及苗,"Soft-shell turtle (terrapin), live, and fry",
01062020210,part01,chap01,sect0106,subsect010620,豹紋陸龜（含其亞種）,"Leopard tortoise (Stigmochelys pardalis) including their sub-species, live",
01062020229,part01,chap01,sect0106,subsect010620,蘇卡達象龜（含其亞種）,"African spurred tortoise (Geochelone sulcata) including their sub-species, live",
01062020238,part01,chap01,sect0106,subsect010620,貝氏絞陸龜（含其亞種）,"Bell's hinge-back tortoise (kinixys belliana) including their sub-species, live",
01062020292,part01,chap01,sect0106,subsect010620,其他陸龜（象龜）科,"Other tortoise (Testudinidae), live",
01062020318,part01,chap01,sect0106,subsect010620,紅耳龜、紅肚龜（均不含人工培育之白化、黃化、黑化品系）,"Trachemys scripta, Pseudemys nelsoni (Both except the captive bred morphs such as albino, yellow, and black types)",
01062020327,part01,chap01,sect0106,subsect010620,鱷龜科,Chelydridae spp.,
01062020906,part01,chap01,sect0106,subsect010620,其他活龜,"Other turtles and tortoises, live",
01062090215,part01,chap01,sect0106,subsect010620,變色蜥屬,Anolis spp.,
01062090224,part01,chap01,sect0106,subsect010620,綠水龍、彩虹飛蜥、彼德飛蜥,"Physignathus cocincinus, Agama agama, Agama picticauda",
01062090233,part01,chap01,sect0106,subsect010620,瑞氏大守宮、大守宮、脊斑守宮,"Gekko reevesii, Gekko gecko, Gekko monarchus",
01062090242,part01,chap01,sect0106,subsect010620,黑白南美蜥（不含人工培育之白化品系）,Salvator merianae (except the captive bred albino morph),
01062090251,part01,chap01,sect0106,subsect010620,黑刺尾鬣蜥、美洲鬣蜥屬,"Ctenosaura similis, Iguana spp.",
01062090901,part01,chap01,sect0106,subsect010620,其他爬蟲類,Other live reptiles,
01063100006,part01,chap01,sect0106,subsect010631,猛禽,Birds of prey,
01063200005,part01,chap01,sect0106,subsect010632,鸚鵡目﹝包括鸚鵡、長尾鸚鵡、金剛鸚鵡、鳳頭鸚鵡﹞,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",
01063300102,part01,chap01,sect0106,subsect010633,駝鳥及鴯鶓，純種繁殖用,"Live ostriches; emus, pure-bred breeding animals",
01063300200,part01,chap01,sect0106,subsect010633,其他駝鳥及鴯鶓,Other live ostriches; emus,
01063900124,part01,chap01,sect0106,subsect010639,十姊妹,"Bengalese, live",
01063900133,part01,chap01,sect0106,subsect010639,金絲雀,"Canary, live",
01063900142,part01,chap01,sect0106,subsect010639,錦靜鳥,"Parson finch, live",
01063900151,part01,chap01,sect0106,subsect010639,小紋鳥,"Rufans tailed finch, live",
01063900160,part01,chap01,sect0106,subsect010639,文鳥,"Java sparrow, live",
01063900179,part01,chap01,sect0106,subsect010639,胡錦鳥,"Gouldian finch, live",
01063900213,part01,chap01,sect0106,subsect010639,錦花鳥,"Zebra finch, live",
01063900222,part01,chap01,sect0106,subsect010639,鴿,"Pigeons, live",
01063900231,part01,chap01,sect0106,subsect010639,鵪鶉,"Quails, live",
01063900302,part01,chap01,sect0106,subsect010639,其他活禽（不包括第０１０５節之活禽）,"Other poultry, live (excluding live poultry of heading 01.05)",
01063900311,part01,chap01,sect0106,subsect010639,中國藍鵲,Urocissa erythrorhyncha,
01063900320,part01,chap01,sect0106,subsect010639,埃及聖䴉,Threskiornis aethiopicus,
01063900339,part01,chap01,sect0106,subsect010639,斑馬鳩,Geopelia striata,
01063900348,part01,chap01,sect0106,subsect010639,環頸雉,Phasianus colchicus,
01063900357,part01,chap01,sect0106,subsect010639,灰喜鵲,Cyanopica cyanus,
01063900366,part01,chap01,sect0106,subsect010639,白腰鵲鴝、鵲鴝,"Copsychus malabaricus, Copsychus saularis",
01063900375,part01,chap01,sect0106,subsect010639,大陸畫眉、白頰噪眉、黑臉噪眉、黑喉噪眉、白臉噪眉,"Garrulax canorus, Pterorhinus sannio, Pterorhinus perspicillatus, Pterorhinus chinensis, Garrulax vassali",
01063900384,part01,chap01,sect0106,subsect010639,灰頭椋鳥、輝椋鳥、葡萄胸椋鳥、白尾八哥、林八哥、家八哥、泰國八哥、黑領椋鳥,"Sturnia malabarica, Aplonis panayensis, Acridotheres burmannicus , Acridotheres javanicus, Acridotheres fuscus, Acridotheres tristis, Acridotheres grandis, Gracupica nigricollis",
01063900393,part01,chap01,sect0106,subsect010639,織雀科,Ploceidae spp.,
01063900419,part01,chap01,sect0106,subsect010639,紅耳鵯,Pycnonotus jocosus,
01063900428,part01,chap01,sect0106,subsect010639,針尾維達鳥,Vidua macroura,
01063900437,part01,chap01,sect0106,subsect010639,爪哇文鳥、白頭文鳥、白喉文鳥、橫斑梅花雀、橙頰梅花雀,"Lonchura oryzivora, Lonchura maja, Euodice malabarica, Estrilda astrild, Estrilda melpoda",
01063900446,part01,chap01,sect0106,subsect010639,繡眼屬,Zosterops spp.,
01063900909,part01,chap01,sect0106,subsect010639,其他活鳥類,"Other birds, live",
01064100004,part01,chap01,sect0106,subsect010641,蜂,"Bees, live",
01064900104,part01,chap01,sect0106,subsect010649,金龜（綠花金龜屬，叉角花金龜屬，扁角花金龜屬，角金龜屬，蛀犀角金龜屬，長臂金龜屬）,"Dicronorhina spp.,Eudicella spp.,Cyprolais spp.,Dicranocephalus spp.,Oryctes spp.,Cheirotonus spp.",
01064900113,part01,chap01,sect0106,subsect010649,藍豔騷金龜,Thaumastopeus shangaicus,
01064900202,part01,chap01,sect0106,subsect010649,鍬形蟲（大鍬形蟲屬，肥角鍬形蟲屬，鋸鍬形蟲屬）,"Stag beetles (Dorcus spp., Aegus spp., Prosopocoilus spp.)",
01064900300,part01,chap01,sect0106,subsect010649,收穫蟻屬、巨山蟻屬、四擬家蟻屬、迷盾針蟻屬、彎顎泛蟻屬、琉璃蟻屬、扁琉璃蟻屬、切葉蟻屬、擬切葉家蟻屬、掠針蟻屬、蜜瓶家蟻屬、虹琉璃蟻屬、毛收割家蟻屬、大頭家蟻屬、擬新針蟻屬、長腳家蟻屬、棘山蟻屬、編織蟻屬、山蟻屬、鋸針蟻屬、顎針蟻屬、雙稜針蟻屬、齒針蟻屬,"Messor spp., Camponotus spp., Tetraponera spp., Mystrium spp., Gnamptogenys spp., Dolichoderus spp., Technomyrmex spp., Atta spp., Acromyrmex spp., Harpegnathos spp., Myrmecocystus spp., Iridomyrmex spp., Pogonomyrmex spp., Pheidole spp., Pseudoneoponera spp., Aphaenogaster spp., Polyrhachis spp., Oecophylla spp., Formica spp., Odontomachus spp., Anochetus spp., Diacamma spp., Odontoponera spp.",
01064900408,part01,chap01,sect0106,subsect010649,粗腿金花蟲,Sagra femorata,
01064900505,part01,chap01,sect0106,subsect010649,巨草螳屬、虹螳屬、侍螳屬、小跳螳屬（異跳螳）、廣緣螳屬、姬螳屬、巨腿螳屬、齒螳屬、奇葉螳屬、原螳屬、斧螳屬、螳屬（薄翅螳）、半翅螳屬、靜螳屬（污斑螳）、刀螳屬、矮斧螳屬、尖眺螳屬（或稱南美綠螳屬）、偽螳屬（或稱擬螳屬）、巨螳屬、鍬螳屬、澳洲枝螳屬、斑光螳、闊臂螳、萊姆螳屬、斑光螳屬、透翅巨螳、瘦螳屬、小弱爪螳屬,"Neodanuria spp., Iris spp., Galinthias spp., Amantis spp., Theopompa spp., Acromantis spp., Astyiasula spp. , Odontomantis spp., Phyllothelys spp., Anaxarcha spp., Hierodula spp., Mantis spp., Mesopteryx spp., Statilia spp., Tenodera spp., Hierodulella spp., Oxyopsis spp., Pseudomantis spp., Sphodromantis spp., Stagmomantis spp., Archimantis spp., Miomantis caffra, Cilnia humeralis, Taumantis spp., Miomantis spp., Macromantis hyalina, Ischnomantis spp., Oligonicella spp.",
01064900907,part01,chap01,sect0106,subsect010649,其他活昆蟲,"Other insects, live",
01069000111,part01,chap01,sect0106,subsect010690,花狹口蛙屬、溫室蟾屬、海蟾蜍、泛樹蛙屬、古巴樹蛙,"Kaloula spp., Eleutherodactylus spp., Rhinella marina, Polypedates spp., Osteopilus septentrionalis",
01069000193,part01,chap01,sect0106,subsect010690,其他蛙及苗,"Other frogs, live, and fry",
01069000200,part01,chap01,sect0106,subsect010690,Ｐｏｎｔｏｓｃｏｌｅｘ屬、薩爾塔細帶蚓、暗色阿波蚓、梯形阿波蚓、八方歐夜蚓、栗色正蚓、福氏正蚓、紅正蚓、陸正蚓，加拿大夜蚯蚓、天藍八線蚓，林地藍蚯蚓、乳白八線蚓，林地乳白蚓、旱田遠環蚓、羅佛理居遠環蚓、羅德萊斯遠環蚓、東京遠環蚓、希氏腔環蚓、尤金真蚓,"Pontoscolex spp., Eukerria saltensis, Aporrectodea caliginosa, Aporrectodea trapezoides, Dendrobaena octaedra, Lumbricus castaneus, Lumbricus friendi, Lumbricus rubellus, Lumbricus terrestris, Octolasion cyaneum, Octolasion lacteum, Amynthas agrestis, Amynthas loveridgei, Amynthas rodericensis, Amynthas tokioensis, Metaphire hilgendorfi, Eudrilus eugeniae",
01069000308,part01,chap01,sect0106,subsect010690,鉗蠍科,Buthidae spp.,
01069000406,part01,chap01,sect0106,subsect010690,寇蛛屬,Latrodectus spp.,
01069000905,part01,chap01,sect0106,subsect010690,其他活動物,Other live animals,
02011010003,part01,chap02,sect0201,subsect020110,特殊品級屠體及半片屠體牛肉，生鮮或冷藏,"Special quality carcasses and half-carcasses of bovine animals, fresh or chilled",
02011090006,part01,chap02,sect0201,subsect020110,其他屠體及半片屠體牛肉，生鮮或冷藏,"Other carcasses and half-carcasses of bovine animals, fresh or chilled",
02012010001,part01,chap02,sect0201,subsect020120,特殊品級帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,"Special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, with bone in, fresh or chilled",
02012020009,part01,chap02,sect0201,subsect020120,特選級或精選級肉牛切割之帶骨牛腩、牛腱，生鮮或冷藏,"Prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, fresh or chilled",
02012090102,part01,chap02,sect0201,subsect020120,帶骨切割牛肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,"Cuts of steaks (rib, loin, sirloin, rump), of bovine animals, with bone in, fresh or chilled",
02012090200,part01,chap02,sect0201,subsect020120,其他帶骨牛腩、牛腱，生鮮或冷藏,"Other shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, with bone in, fresh or chilled",
02012090905,part01,chap02,sect0201,subsect020120,其他帶骨切割牛肉，生鮮或冷藏,"Other cuts of bovine animals, with bone in, fresh or chilled",
02013010107,part01,chap02,sect0201,subsect020130,特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）之絞肉，生鮮或冷藏,"Ground meat from special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, fresh or chilled",
02013010900,part01,chap02,sect0201,subsect020130,其他特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏,"Other special quality beef quarter-carcasses and cuts of steaks (rib, loins, sirloins, rump), of bovine animals, boneless, fresh or chilled",
02013020105,part01,chap02,sect0201,subsect020130,特選級或精選級肉牛切割之去骨牛腩、牛腱之絞肉，生鮮或冷藏,"Ground meat from prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, fresh or chilled",
02013020908,part01,chap02,sect0201,subsect020130,其他特選級或精選級肉牛切割之去骨牛腩、牛腱，生鮮或冷藏,"Other prime or choice grade shin/shank, short plate, brisket, ribs, rib finger, of bovine animals, boneless, fresh or chilled",
02013090100,part01,chap02,sect0201,subsect020130,其他去骨牛肉排（胸側肉、背脊肉、腰內肉、腰脊肉、上腿肉），生鮮或冷藏,"Other cuts of steaks (rib, loin, fillet, sirloin, rump), of bovine animals, boneless, fresh or chilled",
02013090208,part01,chap02,sect0201,subsect020130,其他去骨牛腩、牛腱，生鮮或冷藏,"Other shin/shank, intercostals, short plate, brisket, ribs, rib finger, thin flank, of bovine animals, boneless, fresh or chilled",
