157,goods,part11,地毯及其他紡織材料覆地物,carpets & other textile floor coverings,temp
158,goods,part11,特殊梭織物；簇絨織物；花邊織物；掛毯；裝飾織物；刺繡織物,"special woven fabrics, tufted textiles, lace",temp
159,goods,part11,浸漬、塗佈、被覆或黏合之紡織物；工業用紡織物,"impregnated, coated, covered, or laminated textile prod, textile prod for industrial use",temp
160,goods,part11,針織品或鉤針織品,knitted or crocheted fabrics,temp
161,goods,part11,針織或鉤針織之衣著及服飾附屬品,articles of apparel & clothing accessories-knitted or crocheted,temp
162,goods,part12,非針織及非鉤針織之衣著及服飾附屬品,articles of apparel & clothing accessories-not knitted or crocheted,temp
163,goods,part12,其他製成紡織品；組合品；不堪用衣著及不堪用紡織品；破布,"made-up textile articles nesoi, needlecraft sets, worn clothing, rags",temp
164,goods,part12,鞋靴、綁腿及類似品；此類物品之零件,"footwear, gaiters, & the like",temp
165,goods,part12,帽類及其零件,headgear & other parts,temp
166,goods,part12,雨傘、陽傘、手杖、座凳式手杖、鞭、馬鞭及其零件,"umbrellas, sun umbrellas, walking-sticks, whips, riding-crops & parts",temp
167,goods,part12,已整理之羽毛、羽絨及其製品；人造花；人髮製品,"prepared feathers, human hair & articles thereof, artificial flowers",temp
168,goods,part13,石料、膠泥、水泥、石棉、雲母或類似材料之製品,"articles of stone, plaster, cement, asbestos, mica or similar materials",temp
169,goods,part13,陶瓷產品,ceramic products,temp
170,goods,part13,玻璃及玻璃器,glass & glassware,temp
171,goods,part14,天然珍珠或養珠、寶石或次寶石、貴金屬、被覆貴金屬之金屬及其製品；仿首飾；鑄幣,"pearls, stones, prec. metals, imitation jewelry, coins",temp
172,goods,part15,鋼製,iron & steel,temp
173,goods,part15,鋼鐵製品,articles of iron or steel,temp
174,goods,part15,銅及其製品,copper & articles thereof,temp
175,goods,part15,鎳及其製品,nickel & articles thereof,temp
176,goods,part15,鋁其製品,aluminum & articles thereof,temp
177,goods,part15,鉛及其製品,lead & articles thereof,temp
178,goods,part15,鋅及其製品,zinc & articles thereof,temp
179,goods,part15,錫及其製品,tin & articles thereof,temp
180,goods,part15,其他卑金屬；瓷金；及其製品,"base metals nesoi, cermets, articles etc.",temp
181,goods,part15,卑金屬製工具、器具、利器、匙、叉及其零件,"tools, spoons & forks of base metal",temp
182,goods,part15,雜項卑金屬製品,miscellaneous articles of base metal,temp
183,goods,part16,核子反應器、鍋爐、機器及機械用具；及其零件,"nuclear reactors, boilers, machinery & mechanical appliances, computers",temp
184,goods,part16,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件,"electrical machinery & equip. & parts, telecommunications equip., sound recorders, television recorders",temp
185,goods,part17,鐵路或電車道機車、車輛及其零件；鐵路或電車道軌道固定設備及配件與零件；各種機械式（包括電動機械）交通信號設備,"railway or tramway locomotives, rolling stock, track fixtures & fittings, signals",temp
186,goods,part17,鐵路及電車道車輛以外之車輛及其零件與附件,vehicles other than railway or tramway rolling stock,temp
187,goods,part17,航空器、太空船及其零件,"aircraft, spacecraft, & parts thereof",temp
188,goods,part17,船舶及浮動構造體,"ships, boats, & floating structures",temp
189,goods,part18,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具；鐘錶；樂器；上述物品之零件及附件,"optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments & accessories",temp
190,goods,part18,鐘、錶及其零件,clocks & watches & parts thereof,temp
191,goods,part18,樂器；與其零件及附件,"musical instruments, parts & accessories",temp
192,goods,part19,武器與彈藥；及其零件與附件,"arms & ammunition, parts & accessories",temp
193,goods,part20,家具；寢具、褥支持物、軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌、照明名牌及類似品；組合式建築物,"furniture, bedding, cushions, lamps & lighting fittings nesoi, illuminated signs, nameplates & the like, prefabricated buildings",temp
194,goods,part20,玩具、遊戲品與運動用品；及其零件與附件,"toys, games & sports equip, parts & acces.",temp
195,goods,part20,雜項製品,miscellaneous manufactured articles,temp
196,goods,part21,藝術品、珍藏品及古董,"works of art. collectors' pieces, antiques",temp
